"","year","Gender","num","CellType"
"GSM2172657","38yr","female","cell778","delta"
"GSM2172658","38yr","female","cell779","alpha"
"GSM2172659","38yr","female","cell780","alpha"
"GSM2172660","38yr","female","cell781","alpha"
"GSM2172661","38yr","female","cell782","alpha"
"GSM2172662","38yr","female","cell783","alpha"
"GSM2172663","38yr","female","cell784","beta"
"GSM2172664","38yr","female","cell785","alpha"
"GSM2172665","38yr","female","cell786","beta"
"GSM2172666","38yr","female","cell787","beta"
"GSM2172667","38yr","female","cell788","alpha"
"GSM2172668","38yr","female","cell789","mesenchymal"
"GSM2172669","38yr","female","cell790","acinar"
"GSM2172670","38yr","female","cell791","alpha"
"GSM2172671","38yr","female","cell792","alpha"
"GSM2172672","38yr","female","cell793","beta"
"GSM2172673","38yr","female","cell794","alpha"
"GSM2172674","38yr","female","cell795","ductal"
"GSM2172675","38yr","female","cell796","beta"
"GSM2172676","38yr","female","cell797","beta"
"GSM2172677","38yr","female","cell798","beta"
"GSM2172678","38yr","female","cell799","alpha"
"GSM2172679","38yr","female","cell800","alpha"
"GSM2172680","38yr","female","cell801","ductal"
"GSM2172681","38yr","female","cell802","alpha"
"GSM2172682","38yr","female","cell803","acinar"
"GSM2172683","38yr","female","cell804","alpha"
"GSM2172684","38yr","female","cell805","alpha"
"GSM2172685","38yr","female","cell806","beta"
"GSM2172686","38yr","female","cell807","alpha"
"GSM2172687","38yr","female","cell808","beta"
"GSM2172688","38yr","female","cell809","alpha"
"GSM2172689","38yr","female","cell810","mesenchymal"
"GSM2172690","38yr","female","cell811","alpha"
"GSM2172691","38yr","female","cell812","beta"
"GSM2172692","38yr","female","cell813","acinar"
"GSM2172693","38yr","female","cell814","acinar"
"GSM2172694","38yr","female","cell815","beta"
"GSM2172695","38yr","female","cell816","alpha"
"GSM2172696","38yr","female","cell817","mesenchymal"
"GSM2172697","38yr","female","cell818","acinar"
"GSM2172698","38yr","female","cell819","acinar"
"GSM2172699","38yr","female","cell820","alpha"
"GSM2172700","38yr","female","cell821","alpha"
"GSM2172701","38yr","female","cell822","beta"
"GSM2172702","38yr","female","cell823","ductal"
"GSM2172703","38yr","female","cell824","alpha"
"GSM2172704","38yr","female","cell825","acinar"
"GSM2172705","38yr","female","cell826","alpha"
"GSM2172706","38yr","female","cell827","alpha"
"GSM2172707","38yr","female","cell828","alpha"
"GSM2172708","38yr","female","cell829","acinar"
"GSM2172709","38yr","female","cell830","beta"
"GSM2172710","38yr","female","cell831","alpha"
"GSM2172711","38yr","female","cell832","alpha"
"GSM2172712","38yr","female","cell833","alpha"
"GSM2172713","38yr","female","cell834","beta"
"GSM2172714","38yr","female","cell835","alpha"
"GSM2172715","38yr","female","cell836","alpha"
"GSM2172716","38yr","female","cell837","alpha"
"GSM2172717","38yr","female","cell838","alpha"
"GSM2172718","38yr","female","cell839","alpha"
"GSM2172719","38yr","female","cell840","alpha"
"GSM2172720","38yr","female","cell841","beta"
"GSM2172721","38yr","female","cell842","ductal"
"GSM2172722","38yr","female","cell843","beta"
"GSM2172723","38yr","female","cell844","acinar"
"GSM2172724","38yr","female","cell845","acinar"
"GSM2172725","38yr","female","cell846","alpha"
"GSM2172726","38yr","female","cell847","acinar"
"GSM2172727","38yr","female","cell848","alpha"
"GSM2172728","38yr","female","cell849","alpha"
"GSM2172729","38yr","female","cell850","alpha"
"GSM2172730","38yr","female","cell851","beta"
"GSM2172731","38yr","female","cell852","alpha"
"GSM2172732","38yr","female","cell853","acinar"
"GSM2172733","38yr","female","cell854","alpha"
"GSM2172734","38yr","female","cell855","alpha"
"GSM2172735","38yr","female","cell856","alpha"
"GSM2172736","38yr","female","cell857","acinar"
"GSM2172737","38yr","female","cell858","acinar"
"GSM2172738","38yr","female","cell859","alpha"
"GSM2172739","38yr","female","cell860","alpha"
"GSM2172740","38yr","female","cell861","alpha"
"GSM2172741","38yr","female","cell862","alpha"
"GSM2172742","38yr","female","cell863","alpha"
"GSM2172743","38yr","female","cell864","beta"
"GSM2172744","38yr","female","cell865","acinar"
"GSM2172745","38yr","female","cell866","acinar"
"GSM2172746","38yr","female","cell867","alpha"
"GSM2172747","38yr","female","cell868","ductal"
"GSM2172748","38yr","female","cell869","alpha"
"GSM2172749","38yr","female","cell870","alpha"
"GSM2172750","38yr","female","cell871","alpha"
"GSM2172751","38yr","female","cell872","alpha"
"GSM2172752","38yr","female","cell873","alpha"
"GSM2172753","38yr","female","cell874","beta"
"GSM2172754","38yr","female","cell875","beta"
"GSM2172755","38yr","female","cell876","alpha"
"GSM2172756","38yr","female","cell877","beta"
"GSM2172757","38yr","female","cell878","alpha"
"GSM2172758","38yr","female","cell879","ductal"
"GSM2172759","38yr","female","cell880","alpha"
"GSM2172760","38yr","female","cell881","alpha"
"GSM2172761","38yr","female","cell882","alpha"
"GSM2172762","38yr","female","cell883","alpha"
"GSM2172763","38yr","female","cell884","acinar"
"GSM2172764","1yr","male","cell885","beta"
"GSM2172765","1yr","male","cell886","beta"
"GSM2172766","1yr","male","cell887","beta"
"GSM2172767","1yr","male","cell888","alpha"
"GSM2172768","1yr","male","cell889","alpha"
"GSM2172770","1yr","male","cell891","beta"
"GSM2172771","1yr","male","cell892","alpha"
"GSM2172772","1yr","male","cell893","beta"
"GSM2172773","1yr","male","cell894","alpha"
"GSM2172774","1yr","male","cell895","delta"
"GSM2172775","1yr","male","cell896","beta"
"GSM2172776","1yr","male","cell897","beta"
"GSM2172777","1yr","male","cell898","beta"
"GSM2172780","1yr","male","cell901","alpha"
"GSM2172781","1yr","male","cell902","delta"
"GSM2172782","1yr","male","cell903","beta"
"GSM2172783","1yr","male","cell904","beta"
"GSM2172784","1yr","male","cell905","acinar"
"GSM2172785","1yr","male","cell906","delta"
"GSM2172786","1yr","male","cell907","beta"
"GSM2172787","1yr","male","cell908","alpha"
"GSM2172788","1yr","male","cell909","alpha"
"GSM2172789","1yr","male","cell910","alpha"
"GSM2172791","1yr","male","cell912","alpha"
"GSM2172792","1yr","male","cell913","beta"
"GSM2172793","1yr","male","cell914","beta"
"GSM2172794","1yr","male","cell915","acinar"
"GSM2172795","1yr","male","cell916","alpha"
"GSM2172796","1yr","male","cell917","beta"
"GSM2172797","1yr","male","cell918","beta"
"GSM2172798","1yr","male","cell919","beta"
"GSM2172799","1yr","male","cell920","alpha"
"GSM2172800","1yr","male","cell921","alpha"
"GSM2172802","1yr","male","cell923","acinar"
"GSM2172803","1yr","male","cell924","beta"
"GSM2172804","1yr","male","cell925","alpha"
"GSM2172805","1yr","male","cell926","alpha"
"GSM2172806","1yr","male","cell927","alpha"
"GSM2172807","1yr","male","cell928","beta"
"GSM2172808","1yr","male","cell929","delta"
"GSM2172809","1yr","male","cell930","beta"
"GSM2172810","1yr","male","cell931","delta"
"GSM2172812","1yr","male","cell933","beta"
"GSM2172813","1yr","male","cell934","beta"
"GSM2172814","1yr","male","cell935","beta"
"GSM2172815","1yr","male","cell936","beta"
"GSM2172817","1yr","male","cell938","beta"
"GSM2172818","1yr","male","cell939","beta"
"GSM2172819","1yr","male","cell940","alpha"
"GSM2172820","1yr","male","cell941","delta"
"GSM2172821","38yr","female","cell942","acinar"
"GSM2172822","38yr","female","cell943","alpha"
"GSM2172823","38yr","female","cell944","alpha"
"GSM2172824","38yr","female","cell945","alpha"
"GSM2172825","38yr","female","cell946","acinar"
"GSM2172826","38yr","female","cell947","alpha"
"GSM2172827","38yr","female","cell948","alpha"
"GSM2172828","38yr","female","cell949","acinar"
"GSM2172829","38yr","female","cell950","delta"
"GSM2172830","38yr","female","cell951","alpha"
"GSM2172831","38yr","female","cell952","alpha"
"GSM2172832","38yr","female","cell953","alpha"
"GSM2172833","38yr","female","cell954","alpha"
"GSM2172834","38yr","female","cell955","alpha"
"GSM2172835","38yr","female","cell956","delta"
"GSM2172836","38yr","female","cell957","alpha"
"GSM2172837","38yr","female","cell958","beta"
"GSM2172838","38yr","female","cell959","acinar"
"GSM2172839","38yr","female","cell960","acinar"
"GSM2172840","38yr","female","cell961","alpha"
"GSM2172841","38yr","female","cell962","acinar"
"GSM2172842","38yr","female","cell963","alpha"
"GSM2172843","38yr","female","cell964","acinar"
"GSM2172844","38yr","female","cell965","alpha"
"GSM2172845","38yr","female","cell966","alpha"
"GSM2172846","38yr","female","cell967","alpha"
"GSM2172847","38yr","female","cell968","acinar"
"GSM2172848","38yr","female","cell969","alpha"
"GSM2172849","38yr","female","cell970","acinar"
"GSM2172851","38yr","female","cell972","acinar"
"GSM2172852","38yr","female","cell973","acinar"
"GSM2172853","38yr","female","cell974","beta"
"GSM2172854","38yr","female","cell975","alpha"
"GSM2172855","38yr","female","cell976","acinar"
"GSM2172856","38yr","female","cell977","acinar"
"GSM2172857","38yr","female","cell978","acinar"
"GSM2172858","38yr","female","cell979","alpha"
"GSM2172859","38yr","female","cell980","alpha"
"GSM2172860","38yr","female","cell981","alpha"
"GSM2172861","38yr","female","cell982","alpha"
"GSM2172862","38yr","female","cell983","acinar"
"GSM2172863","38yr","female","cell984","acinar"
"GSM2172864","38yr","female","cell985","alpha"
"GSM2172865","38yr","female","cell986","acinar"
"GSM2172866","38yr","female","cell987","acinar"
"GSM2172867","38yr","female","cell988","acinar"
"GSM2172868","38yr","female","cell989","acinar"
"GSM2172869","38yr","female","cell990","alpha"
"GSM2172870","38yr","female","cell991","alpha"
"GSM2172871","38yr","female","cell992","alpha"
"GSM2172872","38yr","female","cell993","beta"
"GSM2172873","38yr","female","cell994","beta"
"GSM2172874","38yr","female","cell995","alpha"
"GSM2172875","38yr","female","cell996","alpha"
"GSM2172876","38yr","female","cell997","beta"
"GSM2172877","38yr","female","cell998","acinar"
"GSM2172878","38yr","female","cell999","alpha"
"GSM2172879","38yr","female","cell1000","beta"
"GSM2172880","38yr","female","cell1001","alpha"
"GSM2172881","38yr","female","cell1002","alpha"
"GSM2172882","38yr","female","cell1003","delta"
"GSM2172883","38yr","female","cell1004","alpha"
"GSM2172884","38yr","female","cell1005","acinar"
"GSM2172885","38yr","female","cell1006","beta"
"GSM2172886","38yr","female","cell1007","alpha"
"GSM2172887","38yr","female","cell1008","alpha"
"GSM2172888","38yr","female","cell1009","alpha"
"GSM2172889","38yr","female","cell1010","acinar"
"GSM2172890","38yr","female","cell1011","alpha"
"GSM2172891","38yr","female","cell1012","alpha"
"GSM2172892","38yr","female","cell1013","beta"
"GSM2172893","38yr","female","cell1014","alpha"
"GSM2172894","38yr","female","cell1015","alpha"
"GSM2172895","38yr","female","cell1016","alpha"
"GSM2172896","38yr","female","cell1017","acinar"
"GSM2172897","38yr","female","cell1018","beta"
"GSM2172898","38yr","female","cell1019","alpha"
"GSM2172899","38yr","female","cell1020","acinar"
"GSM2172900","38yr","female","cell1021","alpha"
"GSM2172901","38yr","female","cell1022","acinar"
"GSM2172902","38yr","female","cell1023","beta"
"GSM2172903","38yr","female","cell1024","acinar"
"GSM2172904","38yr","female","cell1025","acinar"
"GSM2172905","38yr","female","cell1026","alpha"
"GSM2172906","38yr","female","cell1027","alpha"
"GSM2172907","38yr","female","cell1028","alpha"
"GSM2172908","38yr","female","cell1029","alpha"
"GSM2172909","38yr","female","cell1030","acinar"
"GSM2172910","38yr","female","cell1031","alpha"
"GSM2172911","38yr","female","cell1032","alpha"
"GSM2172912","38yr","female","cell1033","alpha"
"GSM2172913","38yr","female","cell1034","acinar"
"GSM2172914","38yr","female","cell1035","alpha"
"GSM2172915","38yr","female","cell1036","beta"
"GSM2172916","5yr","male","cell1037","acinar"
"GSM2172917","5yr","male","cell1038","acinar"
"GSM2172918","5yr","male","cell1039","alpha"
"GSM2172919","5yr","male","cell1040","acinar"
"GSM2172920","5yr","male","cell1041","acinar"
"GSM2172921","5yr","male","cell1042","acinar"
"GSM2172922","5yr","male","cell1043","delta"
"GSM2172923","5yr","male","cell1044","acinar"
"GSM2172924","5yr","male","cell1045","alpha"
"GSM2172925","5yr","male","cell1046","mesenchymal"
"GSM2172926","5yr","male","cell1047","delta"
"GSM2172927","5yr","male","cell1048","alpha"
"GSM2172928","5yr","male","cell1049","ductal"
"GSM2172929","44yr","female","cell1050","alpha"
"GSM2172930","44yr","female","cell1051","alpha"
"GSM2172931","5yr","male","cell1052","alpha"
"GSM2172932","5yr","male","cell1053","beta"
"GSM2172933","44yr","female","cell1054","delta"
"GSM2172935","44yr","female","cell1056","beta"
"GSM2172936","44yr","female","cell1057","alpha"
"GSM2172937","yr","male","cell1058","acinar"
"GSM2172938","44yr","female","cell1059","ductal"
"GSM2172939","5yr","male","cell1060","acinar"
"GSM2172940","5yr","male","cell1061","alpha"
"GSM2172941","5yr","male","cell1062","alpha"
"GSM2172942","44yr","female","cell1063","alpha"
"GSM2172943","44yr","female","cell1064","acinar"
"GSM2172944","5yr","male","cell1065","ductal"
"GSM2172945","5yr","male","cell1066","beta"
"GSM2172946","44yr","female","cell1067","acinar"
"GSM2172947","44yr","female","cell1068","alpha"
"GSM2172948","44yr","female","cell1069","alpha"
"GSM2172949","5yr","male","cell1070","mesenchymal"
"GSM2172950","44yr","female","cell1071","acinar"
"GSM2172951","5yr","male","cell1072","acinar"
"GSM2172952","5yr","male","cell1073","mesenchymal"
"GSM2172953","5yr","male","cell1074","ductal"
"GSM2172954","44yr","female","cell1075","delta"
"GSM2172955","44yr","female","cell1076","alpha"
"GSM2172956","5yr","male","cell1077","alpha"
"GSM2172957","5yr","male","cell1078","acinar"
"GSM2172958","5yr","male","cell1079","acinar"
"GSM2172959","5yr","male","cell1080","delta"
"GSM2172960","5yr","male","cell1081","alpha"
"GSM2172961","5yr","male","cell1082","ductal"
"GSM2172962","44yr","female","cell1083","ductal"
"GSM2172963","44yr","female","cell1084","alpha"
"GSM2172964","5yr","male","cell1085","ductal"
"GSM2172965","5yr","male","cell1086","acinar"
"GSM2172966","44yr","female","cell1087","acinar"
"GSM2172967","5yr","male","cell1088","mesenchymal"
"GSM2172968","5yr","male","cell1089","alpha"
"GSM2172969","5yr","male","cell1090","alpha"
"GSM2172970","44yr","female","cell1091","ductal"
"GSM2172971","5yr","male","cell1092","acinar"
"GSM2172972","5yr","male","cell1093","acinar"
"GSM2172973","44yr","female","cell1094","acinar"
"GSM2172974","5yr","male","cell1095","ductal"
"GSM2172975","44yr","female","cell1096","alpha"
"GSM2172976","5yr","male","cell1097","acinar"
"GSM2172977","44yr","female","cell1098","alpha"
"GSM2172978","44yr","female","cell1099","alpha"
"GSM2172979","5yr","male","cell1100","alpha"
"GSM2172980","44yr","female","cell1101","alpha"
"GSM2172981","44yr","female","cell1102","alpha"
"GSM2172982","5yr","male","cell1103","alpha"
"GSM2172983","44yr","female","cell1104","acinar"
"GSM2172984","5yr","male","cell1105","mesenchymal"
"GSM2172985","44yr","female","cell1106","alpha"
"GSM2172986","44yr","female","cell1107","alpha"
"GSM2172987","5yr","male","cell1108","mesenchymal"
"GSM2172988","44yr","female","cell1109","beta"
"GSM2172989","5yr","male","cell1110","acinar"
"GSM2172990","5yr","male","cell1111","beta"
"GSM2172991","5yr","male","cell1112","alpha"
"GSM2172992","5yr","male","cell1113","beta"
"GSM2172993","5yr","male","cell1114","mesenchymal"
"GSM2172994","44yr","female","cell1115","alpha"
"GSM2172995","5yr","male","cell1116","acinar"
"GSM2172996","44yr","female","cell1117","alpha"
"GSM2172997","44yr","female","cell1118","acinar"
"GSM2172998","44yr","female","cell1119","ductal"
"GSM2172999","5yr","male","cell1120","beta"
"GSM2173000","5yr","male","cell1121","acinar"
"GSM2173001","44yr","female","cell1122","alpha"
"GSM2173002","5yr","male","cell1123","acinar"
"GSM2173004","44yr","female","cell1125","alpha"
"GSM2173005","5yr","male","cell1126","mesenchymal"
"GSM2173006","5yr","male","cell1127","beta"
"GSM2173007","5yr","male","cell1128","acinar"
"GSM2173009","44yr","female","cell1130","alpha"
"GSM2173010","5yr","male","cell1131","ductal"
"GSM2173011","44yr","female","cell1132","beta"
"GSM2173012","5yr","male","cell1133","acinar"
"GSM2173013","44yr","female","cell1134","beta"
"GSM2173014","5yr","male","cell1135","acinar"
"GSM2173015","5yr","male","cell1136","acinar"
"GSM2173016","44yr","female","cell1137","alpha"
"GSM2173017","44yr","female","cell1138","beta"
"GSM2173018","44yr","female","cell1139","alpha"
"GSM2173019","5yr","male","cell1140","acinar"
"GSM2173020","5yr","male","cell1141","acinar"
"GSM2173021","5yr","male","cell1142","acinar"
"GSM2173022","44yr","female","cell1143","ductal"
"GSM2173023","5yr","male","cell1144","acinar"
"GSM2173024","5yr","male","cell1145","ductal"
"GSM2173025","5yr","male","cell1146","acinar"
"GSM2173026","44yr","female","cell1147","alpha"
"GSM2173027","5yr","male","cell1148","beta"
"GSM2173028","5yr","male","cell1149","ductal"
"GSM2173029","5yr","male","cell1150","ductal"
"GSM2173030","5yr","male","cell1151","beta"
"GSM2173031","5yr","male","cell1152","acinar"
"GSM2173032","5yr","male","cell1153","acinar"
"GSM2173033","5yr","male","cell1154","alpha"
"GSM2173034","5yr","male","cell1155","ductal"
"GSM2173035","5yr","male","cell1156","acinar"
"GSM2173036","5yr","male","cell1157","mesenchymal"
"GSM2173037","5yr","male","cell1158","acinar"
"GSM2173038","44yr","female","cell1159","alpha"
"GSM2173039","5yr","male","cell1160","acinar"
"GSM2173040","5yr","male","cell1161","alpha"
"GSM2173041","5yr","male","cell1162","acinar"
"GSM2173042","5yr","male","cell1163","ductal"
"GSM2173043","44yr","female","cell1164","ductal"
"GSM2173044","5yr","male","cell1165","alpha"
"GSM2173045","5yr","male","cell1166","alpha"
"GSM2173046","44yr","female","cell1167","acinar"
"GSM2173047","5yr","male","cell1168","acinar"
"GSM2173048","5yr","male","cell1169","acinar"
"GSM2173049","5yr","male","cell1170","alpha"
"GSM2173050","5yr","male","cell1171","acinar"
"GSM2173051","5yr","male","cell1172","ductal"
"GSM2173052","44yr","female","cell1173","alpha"
"GSM2173053","5yr","male","cell1174","acinar"
"GSM2173054","5yr","male","cell1175","alpha"
"GSM2173055","44yr","female","cell1176","alpha"
"GSM2173056","44yr","female","cell1177","alpha"
"GSM2173057","5yr","male","cell1178","alpha"
"GSM2173058","5yr","male","cell1179","alpha"
"GSM2173059","5yr","male","cell1180","mesenchymal"
"GSM2173060","5yr","male","cell1181","mesenchymal"
"GSM2173061","5yr","male","cell1182","alpha"
"GSM2173062","44yr","female","cell1183","alpha"
"GSM2173063","44yr","female","cell1184","alpha"
"GSM2173064","44yr","female","cell1185","alpha"
"GSM2173065","5yr","male","cell1186","mesenchymal"
"GSM2173066","5yr","male","cell1187","mesenchymal"
"GSM2173067","5yr","male","cell1188","acinar"
"GSM2173068","5yr","male","cell1189","acinar"
"GSM2173069","5yr","male","cell1190","acinar"
"GSM2173070","44yr","female","cell1191","delta"
"GSM2173071","5yr","male","cell1192","alpha"
"GSM2173072","44yr","female","cell1193","alpha"
"GSM2173074","44yr","female","cell1195","acinar"
"GSM2173075","44yr","female","cell1196","acinar"
"GSM2173076","44yr","female","cell1197","alpha"
"GSM2173077","44yr","female","cell1198","alpha"
"GSM2173079","44yr","female","cell1200","alpha"
"GSM2173080","44yr","female","cell1201","alpha"
"GSM2173081","44yr","female","cell1202","alpha"
"GSM2173082","44yr","female","cell1203","alpha"
"GSM2173083","44yr","female","cell1204","alpha"
"GSM2173084","44yr","female","cell1205","ductal"
"GSM2173085","44yr","female","cell1206","delta"
"GSM2173086","44yr","female","cell1207","ductal"
"GSM2173087","44yr","female","cell1208","ductal"
"GSM2173088","44yr","female","cell1209","beta"
"GSM2173089","44yr","female","cell1210","alpha"
"GSM2173090","44yr","female","cell1211","acinar"
"GSM2173091","44yr","female","cell1212","ductal"
"GSM2173092","44yr","female","cell1213","acinar"
"GSM2173093","44yr","female","cell1214","alpha"
"GSM2173094","44yr","female","cell1215","alpha"
"GSM2173095","44yr","female","cell1216","alpha"
"GSM2173096","44yr","female","cell1217","delta"
"GSM2173097","44yr","female","cell1218","ductal"
"GSM2173098","44yr","female","cell1219","alpha"
"GSM2173099","44yr","female","cell1220","alpha"
"GSM2173100","44yr","female","cell1221","beta"
"GSM2173101","44yr","female","cell1222","acinar"
"GSM2173102","44yr","female","cell1223","delta"
"GSM2173103","44yr","female","cell1224","beta"
"GSM2173104","44yr","female","cell1225","alpha"
"GSM2173106","44yr","female","cell1227","acinar"
"GSM2173107","44yr","female","cell1228","alpha"
"GSM2173108","44yr","female","cell1229","alpha"
"GSM2173109","44yr","female","cell1230","beta"
"GSM2173110","44yr","female","cell1231","alpha"
"GSM2173111","44yr","female","cell1232","alpha"
"GSM2173112","44yr","female","cell1233","alpha"
"GSM2173113","44yr","female","cell1234","alpha"
"GSM2173114","44yr","female","cell1235","beta"
"GSM2173115","44yr","female","cell1236","alpha"
"GSM2173116","44yr","female","cell1237","ductal"
"GSM2173117","44yr","female","cell1238","alpha"
"GSM2173118","44yr","female","cell1239","alpha"
"GSM2173119","44yr","female","cell1240","ductal"
"GSM2173120","44yr","female","cell1241","alpha"
"GSM2173121","44yr","female","cell1242","alpha"
"GSM2173122","44yr","female","cell1243","acinar"
"GSM2173124","44yr","female","cell1245","alpha"
"GSM2173125","44yr","female","cell1246","alpha"
"GSM2173126","44yr","female","cell1247","alpha"
"GSM2173127","44yr","female","cell1248","alpha"
"GSM2173128","44yr","female","cell1249","alpha"
"GSM2173129","44yr","female","cell1250","ductal"
"GSM2173130","44yr","female","cell1251","alpha"
"GSM2173131","44yr","female","cell1252","alpha"
"GSM2173132","44yr","female","cell1253","beta"
"GSM2173133","44yr","female","cell1254","alpha"
"GSM2173134","44yr","female","cell1255","alpha"
"GSM2173135","44yr","female","cell1256","alpha"
"GSM2173136","44yr","female","cell1257","delta"
"GSM2173137","44yr","female","cell1258","alpha"
"GSM2173138","44yr","female","cell1259","alpha"
"GSM2173139","44yr","female","cell1260","alpha"
"GSM2173140","44yr","female","cell1261","alpha"
"GSM2173141","44yr","female","cell1262","acinar"
"GSM2173143","44yr","female","cell1264","alpha"
"GSM2173144","44yr","female","cell1265","alpha"
"GSM2173145","44yr","female","cell1266","alpha"
"GSM2173146","44yr","female","cell1267","alpha"
"GSM2173147","44yr","female","cell1268","alpha"
"GSM2173148","44yr","female","cell1269","alpha"
"GSM2173149","44yr","female","cell1270","alpha"
"GSM2173150","44yr","female","cell1271","acinar"
"GSM2173151","44yr","female","cell1272","beta"
"GSM2173152","44yr","female","cell1273","ductal"
"GSM2173153","6yr","male","cell1274","alpha"
"GSM2173154","6yr","male","cell1275","delta"
"GSM2173155","6yr","male","cell1276","acinar"
"GSM2173156","6yr","male","cell1277","alpha"
"GSM2173157","6yr","male","cell1278","beta"
"GSM2173158","6yr","male","cell1279","beta"
"GSM2173159","6yr","male","cell1280","acinar"
"GSM2173160","6yr","male","cell1281","alpha"
"GSM2173161","6yr","male","cell1282","alpha"
"GSM2173162","6yr","male","cell1283","alpha"
"GSM2173163","6yr","male","cell1284","alpha"
"GSM2173164","6yr","male","cell1285","beta"
"GSM2173165","6yr","male","cell1286","acinar"
"GSM2173166","6yr","male","cell1287","alpha"
"GSM2173167","6yr","male","cell1288","alpha"
"GSM2173168","6yr","male","cell1289","beta"
"GSM2173169","6yr","male","cell1290","beta"
"GSM2173170","6yr","male","cell1291","alpha"
"GSM2173171","6yr","male","cell1292","acinar"
"GSM2173173","6yr","male","cell1294","beta"
"GSM2173175","6yr","male","cell1296","acinar"
"GSM2173176","6yr","male","cell1297","acinar"
"GSM2173177","6yr","male","cell1298","alpha"
"GSM2173178","6yr","male","cell1299","acinar"
"GSM2173179","6yr","male","cell1300","alpha"
"GSM2173181","6yr","male","cell1302","alpha"
"GSM2173182","6yr","male","cell1303","beta"
"GSM2173183","6yr","male","cell1304","alpha"
"GSM2173184","6yr","male","cell1305","alpha"
"GSM2173185","6yr","male","cell1306","alpha"
"GSM2173186","6yr","male","cell1307","acinar"
"GSM2173187","6yr","male","cell1308","beta"
"GSM2173188","6yr","male","cell1309","beta"
"GSM2173191","6yr","male","cell1312","beta"
"GSM2173192","6yr","male","cell1313","acinar"
"GSM2173193","6yr","male","cell1314","beta"
"GSM2173194","6yr","male","cell1315","beta"
"GSM2173195","6yr","male","cell1316","acinar"
"GSM2173197","6yr","male","cell1318","alpha"
"GSM2173198","6yr","male","cell1319","alpha"
"GSM2173199","6yr","male","cell1320","alpha"
"GSM2173200","6yr","male","cell1321","alpha"
"GSM2173201","6yr","male","cell1322","alpha"
"GSM2173202","6yr","male","cell1323","alpha"
"GSM2173204","6yr","male","cell1325","alpha"
"GSM2173205","6yr","male","cell1326","alpha"
"GSM2173206","6yr","male","cell1327","alpha"
"GSM2173207","6yr","male","cell1328","acinar"
"GSM2173208","6yr","male","cell1329","alpha"
"GSM2173209","6yr","male","cell1330","delta"
"GSM2173210","6yr","male","cell1331","acinar"
"GSM2173212","6yr","male","cell1333","alpha"
"GSM2173213","6yr","male","cell1334","beta"
"GSM2173214","6yr","male","cell1335","alpha"
"GSM2173215","6yr","male","cell1336","alpha"
"GSM2173217","6yr","male","cell1338","alpha"
"GSM2173219","6yr","male","cell1340","alpha"
"GSM2173221","6yr","male","cell1342","alpha"
"GSM2173223","6yr","male","cell1344","beta"
"GSM2173224","6yr","male","cell1345","beta"
"GSM2173225","6yr","male","cell1346","acinar"
"GSM2173226","6yr","male","cell1347","mesenchymal"
"GSM2173227","6yr","male","cell1348","beta"
"GSM2173228","6yr","male","cell1349","alpha"
"GSM2173229","6yr","male","cell1350","alpha"
"GSM2173230","6yr","male","cell1351","alpha"
"GSM2173232","6yr","male","cell1353","beta"
"GSM2173233","6yr","male","cell1354","beta"
"GSM2173234","6yr","male","cell1355","alpha"
"GSM2173235","6yr","male","cell1356","beta"
"GSM2173236","6yr","male","cell1357","alpha"
"GSM2173237","6yr","male","cell1358","alpha"
"GSM2173239","6yr","male","cell1360","acinar"
"GSM2173240","6yr","male","cell1361","acinar"
"GSM2173241","6yr","male","cell1362","alpha"
"GSM2173242","6yr","male","cell1363","beta"
"GSM2173243","6yr","male","cell1364","beta"
"GSM2173244","6yr","male","cell1365","beta"
"GSM2173245","6yr","male","cell1366","alpha"
"GSM2173246","6yr","male","cell1367","acinar"
"GSM2173247","6yr","male","cell1368","beta"
"GSM2173248","6yr","male","cell1369","alpha"
"GSM2173249","6yr","male","cell1370","alpha"
"GSM2173250","6yr","male","cell1371","beta"
"GSM2173251","6yr","male","cell1372","acinar"
"GSM2173252","6yr","male","cell1373","alpha"
"GSM2173253","6yr","male","cell1374","beta"
"GSM2173254","6yr","male","cell1375","alpha"
"GSM2173255","6yr","male","cell1376","alpha"
"GSM2173256","6yr","male","cell1377","alpha"
"GSM2173258","6yr","male","cell1379","beta"
"GSM2173259","6yr","male","cell1380","acinar"
"GSM2173260","6yr","male","cell1381","alpha"
"GSM2173261","6yr","male","cell1382","acinar"
"GSM2173262","6yr","male","cell1383","alpha"
"GSM2173263","6yr","male","cell1384","beta"
"GSM2173264","6yr","male","cell1385","beta"
"GSM2173265","6yr","male","cell1386","alpha"
"GSM2173268","6yr","male","cell1389","alpha"
"GSM2173270","6yr","male","cell1391","alpha"
"GSM2173271","6yr","male","cell1392","alpha"
"GSM2173272","6yr","male","cell1393","acinar"
"GSM2173273","6yr","male","cell1394","alpha"
"GSM2173274","6yr","male","cell1395","beta"
"GSM2173275","6yr","male","cell1396","beta"
"GSM2173276","6yr","male","cell1397","acinar"
"GSM2173277","6yr","male","cell1398","beta"
"GSM2173281","6yr","male","cell1402","beta"
"GSM2173282","6yr","male","cell1403","alpha"
"GSM2173283","6yr","male","cell1404","acinar"
"GSM2173284","6yr","male","cell1405","acinar"
"GSM2173285","6yr","male","cell1406","alpha"
"GSM2173286","6yr","male","cell1407","acinar"
"GSM2173287","6yr","male","cell1408","beta"
"GSM2173288","6yr","male","cell1409","alpha"
